keywords,labels,weight,distance,range,Notes?,,
close closes closed closing && down,bankruptcy,-100,9,3,,financial-issues geopolitical,
may likely will about to && default delinquency nonpayment,bankruptcy,-200,25,3,,financial-issues tax-evasion,
ondergang demise downfall collapse meltdown implode implodes imploding implosion crisis doom doomsday apocalypse apocalyptic oblivion grim abyss harbinger nightmare nightmarish chaos catastrophe && warn warns warning warnings warned alerts alerting alerted heeds notify notifies notifying email emails && likely probable probably probability possible possibility possibly might could maybe potentially potential face facing faces,bankruptcy,-300,25,4,,pandemics,
ondergang demise downfall collapse meltdown implode implodes imploding implosion crisis doom doomsday apocalypse apocalyptic oblivion grim abyss harbinger nightmare nightmarish chaos catastrophe && risks risking close closer closely imminent brink verge impending inevitable approaching near nearing nearer poised looming foreboding,bankruptcy,-300,25,4,,general-issues,
cost costs costing costly incurred incurring duped dupes duping price damage toll loss losses expense expense exorbitant damages detriment detrimental milliardeneuro billions billion bln millions millionen must && taxpayer taxpayers,bankruptcy,-250,25,5,,general-issues regulatory,
ministry minister government governmental ministry senate senator senators eu systemic && issues && burden capital recapitalization recapitalisation && measures,bankruptcy,-350,25,5,,financial-offenses,
to about && nationalise nationalize,bankruptcy,-400,7,5,,cybersecurity,
government state ministry minister && took take takes taking assume assumes assuming && control,bankruptcy,-400,22,5,,financial-offenses internal-wrongdoing,
banking bank need needs needing billion bln billions plan plans planning taxpayer taxpayers state government governmental ministry senate senator senators eu systemic inevitable commission europe european ecb afm authority authorities sec approve approves approved approving ahead economy economic treasury && rescue rescuing,bankruptcy,-300,25,5,,future-outlook strategic-risk,
banking bank billion bln billions plan plans planning taxpayer taxpayers state government governmental ministry senate senator senators eu systemic inevitable commission europe european ecb afm authority authorities sec approve approves approved approving ahead economy economic treasury && recover recovering,bankruptcy,-20,25,5,,strategic-risk,
clipping clips && billion billions bln,bankruptcy,-300,25,5,,financial-offenses data-breach cybersecurity,
cost costs && taxpayer taxpayers,bankruptcy,-250,25,5,,data-breach cybersecurity,
market && exit,bankruptcy,-300,9,4,,future-outlook,
shuts shut shutting close closes closing && operation operations,bankruptcy,-200,25,6,,general-issues acts-of-violence,
longtime && shuts shut shutting shutter shutters shuttering close closes closing && down up,bankruptcy,-200,25,6,,general-issues internal-wrongdoing,
shuts shut shutting && up down && shop store webshop,bankruptcy,-200,25,6,,operational-risk data-breach cybersecurity,
go goes went gone going heading head heads headed back finally still soon could again immediately quickly soon suddenly place places placed placing put puts putting push pushes pushed pushing force force forces forcing tap taps tapping tapped && into && administration,bankruptcy,-300,35,10,,internal-wrongdoing,
entered entering enters enter && administration administrated,bankruptcy,-300,25,6,,political-instability geopolitical,
struggling dire problematic risk risks risking fear fears fearing && administration,bankruptcy,-300,25,6,,regulatory,
calls calling called && in && administrator administrators,bankruptcy,-300,25,6,,product-problems,
appointed appoints && administrators administrator,bankruptcy,-300,25,6,,political-instability,
pre && pack && administration,bankruptcy,-150,25,6,,hostile-acquisitions,
debt debts && bankrupt bankruptcy bankruptcies insolvency faillissementsbescherming,bankruptcy,-200,25,6,,human-accidents,
reject rejects rejecting rejected deny denies denying denied decline declines declined refuse refuses refused && rescue bailout bankrupt bankruptcy bankruptcies,bankruptcy,-200,25,6,,human-rights-violations,
seek seeking seeks conditions && bailout,bankruptcy,-200,25,3,,investigations,
appoint appoints appointing appointed && curator curators,bankruptcy,-300,25,6,,labour-problems,
difficult crisis && quarter quarterly,bankruptcy,-150,7,2,,labour-problems bankruptcy,
difficult difficulties debt debts crisis && half quarter halfway months && year 2019 2020 2021 quarter quarterly second first,bankruptcy,-150,7,2,,labour-problems human-rights-violations,
hit hitting hits threat threatens threatening loom looms looming unavoidable imminent fear fears fearing brink verge edge will announce announces announcing announced call calls calling called convert converts converting converted to into risks risking likely inevitable danger possibility could potentially impending ahead coming might may tap taps tapping tapped && bankrupt bankruptcy insolvent insolvency bankrupted,bankruptcy,-400,25,6,,lawsuits,
heading headed heads head court judge ruling rule ruling ruled going heading risk && for && bankruptcy faillissement insolvency,bankruptcy,-400,25,6,,sentencing,
bankrupt bankruptcy failliet failliete faillit faillissementsbescherming && by && court,bankruptcy,-400,25,6,,lawsuits investigations,
go going goes today immediately declare declaring declared declares is && bankrupt bankruptcy bankruptcies failliet faillit failliete faillissementsbescherming,bankruptcy,-400,25,6,,market-manipulation,
file files filed filing today immediate announced announces announcing issues issuing && bankruptcy bankrupt bankruptcies insolvency faillissementsbescherming,bankruptcy,-400,25,6,,mna,
chapter ch chapters && eleven seven eleven 7 11 13 thirteen,bankruptcy,-200,25,3,,mna strategic-risk,
is && about to && topple,bankruptcy,-200,4,6,,natural-disasters,
rumor rumour rumors rumours rumored rumoured talk said near nigh word gossip indications might could possible possibly possibility indications indication likely probably probability speculate speculation speculations speculating supposedly risk risks risking despite prepare prepares preparing expect expects expecting expected expectation expectations threat threats threatening threatened consider considers considering weigh weighs weighing table tap taps tapping tapped seek seeks seeking examine examines examining examined look looks looking looked && eleven seven 7 11 13 && chapter ch,bankruptcy,-200,4,6,,operational-risk,
rumor rumour rumors rumours rumored rumoured talk said near nigh word gossip indications might could possible possibly possibility indications indication likely probably probability speculate speculation speculations speculating supposedly risk risks risking despite prepare prepares preparing expect expects expecting expected expectation expectations consider considers considering weigh weighs weighing table tap taps tapping tapped seek seeks seeking examine examines examining examined look looks looking looked && chapter ch && eleven 7 11 13,bankruptcy,-300,35,8,,operational-risk product-problems,
close closing closed && bankrupt bankruptcy bankruptcies,bankruptcy,-300,35,10,,operational-risk regulatory,
disaster failure insolvency liquidation loss defalcation destitution exhaustion indebtedness indigence nonpayment overdraft pauperism privation repudiation ruin ruination destituteness && loan debt debts money arrears bill commitment credit damage deficit indebtedness liability mortgage obligation,bankruptcy,-300,35,6,,operational-risk human-accidents,
belly && up,bankruptcy,-200,25,6,,positive,
queer && street,bankruptcy,-200,25,6,,positive strategic-risk,
gone && wall,bankruptcy,-200,25,6,,testing ordeal challenge challenging,
cleaned && out,bankruptcy,-200,25,6,,positive regulatory,
bailed bail bails bailing && out,bankruptcy,-100,25,6,,pr-problems,
bailout bailouts,bankruptcy,-100,25,6,,pr-problems internal-wrongdoing,
in && receivership,bankruptcy,-299,25,6,,product-problems operational-risk,
is will && in && liquidation default,bankruptcy,-300,25,6,,geopolitical,
in && payment && default,bankruptcy,-250,25,6,,sentencing sanctions,
liquidator liquidators administrator administrators && appointed appoints appointing names naming designate designates designating designated need needs needing needed prepack pack,bankruptcy,-300,25,6,,strategic-problems,
liquidation liquidator liquidators,bankruptcy,-300,25,6,,strategic-risk operational-risk,
liquidate liquidates liquidating liquidation liquidations liquidator liquidators,bankruptcy,-200,25,6,,tax-evasion,
defaults defaulting default && risk risks risking swap,bankruptcy,-200,25,6,,tax-evasion geopolitical,
insolvency insolvent insolvente insolvabilite insolvability,bankruptcy,-250,25,8,,tax-evasion internal-wrongdoing,
bankrupt bankrupts bankrupted bankrupted failliet failliete faillit faillissementsbescherming,bankruptcy,-200,25,6,,pos-future-outlook positive,
ruination ruined,bankruptcy,-200,25,6,,brexit,
in to && ruins ruin,bankruptcy,-200,25,6,,sanctions,
drowning drowned drowns && in && red,bankruptcy,-200,25,6,,sanctions investigations,
suspension postponement suspend suspends && payment payments,bankruptcy,-350,25,6,,sanctions lawsuits,
bank banks banking operation operating operations && license licenses licenses permit permits license license && uncertain doubt revoke revoked revoking detract detracts detracting cancel cancels canceling canceled canceled cancelation cancellation stop stops stopping halt halts halting suspend suspends suspended suspending suspension ponder ponders pondering withdrawn withdraw denies denied,bankruptcy,-300,25,6,,sanctions sentencing,
license licenses licenses permit permits license license && uncertain doubt revoke revoked revoking detract detracts detracting cancel cancels canceling canceled canceled cancelation cancellation stop stops stopping halt halts halting suspend suspends suspended suspending suspension ponder ponders pondering withdrawn withdraw denies denied,bankruptcy,-150,25,10,,sanctions sentencing regulatory,
operating && license licenses license licenses permit permits && discussion,bankruptcy,-150,25,10,,tariffs,
